Year,Country,Region,Latitude,Longitude,Depth,Magnitud,Density,IDH,Ciudades,Death_Cat,Injuries_Cat,Damage_Cat,Density_Gpo,Death_Descripcion,Injurie_Descripcion,Damage_Descripcion
1968,KENYA,10,-0.6,34.4,33.0,4.6,0,0.0,3,1,1,1,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,menos de $1 millón
1968,JAPAN,30,32.3,132.5,30.0,7.5,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1968,IRAN,140,39.253,44.203,34.0,5.6,0,0.0,4,1,2,3,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1968,JAPAN,30,40.8,143.2,7.0,8.2,0,0.0,1,4,3,3,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1968,PHILIPPINES,170,16.5,122.2,36.0,7.3,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1968,IRAN,140,34.158,59.083,13.0,7.1,0,0.0,1,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1968,TURKEY,140,41.8,32.3,38.0,6.6,0,0.0,3,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1969,IRAN,140,37.14,57.898999999999994,11.0,5.5,0,0.0,1,1,3,3,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1969,CHINA,40,41.45,79.367,10.0,6.3,0,0.0,1,3,1,3,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1969,INDONESIA,170,-3.1,118.9,13.0,7.4,0,0.0,2,2,2,2,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1969,PORTUGAL,130,36.016999999999996,-10.95,22.0,7.8,0,0.0,4,4,1,2,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1969,ETHIOPIA,10,11.9,41.21,35.0,6.2,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1969,EGYPT,15,27.7,34.0,33.0,7.0,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1969,CHINA,30,38.2,119.4,6.0,7.4,0,0.0,1,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1970,PHILIPPINES,170,12.6,122.1,11.0,7.1,0,0.0,3,2,2,2,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1970,INDIA,60,21.7,73.0,3.0,5.4,0,0.0,1,1,3,3,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1970,TURKEY,140,39.2,29.5,20.0,7.4,0,0.0,1,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1970,PHILIPPINES,170,15.78,121.71,40.0,7.3,0,0.0,1,3,3,1,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,menos de $1 millón
1970,PERU,160,-9.2,-78.8,43.0,7.9,0,0.0,3,4,3,1,1,mas de 1000 decesos,de 101 a 1000 lesionados,menos de $1 millón
1970,IRAN,140,37.8,55.9,16.0,6.7,0,0.0,2,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1970,PERU,160,-1.5,-72.6,651.0,7.1,0,0.0,1,3,2,2,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1970,PAPUA NEW GUINEA,170,-4.907,145.471,8.0,7.3,0,0.0,1,2,2,2,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1970,PERU,160,-4.0,-80.7,25.0,7.6,0,0.0,2,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1971,ITALY,130,42.5,11.8,33.0,4.6,0,0.0,1,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1971,USA,150,34.412,-118.4,8.0,6.5,0,0.0,1,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1971,TURKEY,140,37.6,29.8,23.0,5.9,0,0.0,1,2,2,3,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1971,TURKEY,140,38.8,40.5,3.0,6.7,0,0.0,1,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1971,INDONESIA,60,-7.2,109.1,35.0,5.2,0,0.0,3,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1971,CHILE,160,-32.5,-71.2,58.0,7.8,0,0.0,1,4,3,1,1,mas de 1000 decesos,de 101 a 1000 lesionados,menos de $1 millón
1971,PAPUA NEW GUINEA,170,-5.5,153.9,47.0,7.9,0,0.0,1,4,3,1,1,mas de 1000 decesos,de 101 a 1000 lesionados,menos de $1 millón
1971,PERU,160,-2.7,-77.4,135.0,6.3,0,0.0,1,3,2,2,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1971,VANUATU,170,-15.5,167.2,40.0,7.1,0,0.0,2,3,2,1,1,de 101 a 1000 decesos,de 51 a 100 lesionados,menos de $1 millón
1972,ITALY,130,43.8,13.3,25.0,4.8,0,0.0,2,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1972,PERU,160,-6.8,-76.8,64.0,6.1,0,0.0,1,3,1,3,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1972,IRAN,140,28.415,52.765,11.0,6.6,0,0.0,4,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1972,TAIWAN,30,23.6,121.6,33.0,6.9,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1972,AFGHANISTAN,40,36.2,69.7,47.0,6.1,0,0.0,2,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1972,NICARAGUA,100,12.4,-86.1,5.0,6.2,0,0.0,1,4,3,3,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1973,MEXICO,150,18.48,-103.0,43.0,7.5,0,0.0,3,3,2,2,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1973,PHILIPPINES,170,13.4,122.8,33.0,7.5,0,0.0,3,2,2,1,1,de 51 a 100 decesos,de 51 a 100 lesionados,menos de $1 millón
1973,COSTA RICA,100,10.679,-84.759,33.0,6.5,0,0.0,3,3,2,1,1,de 101 a 1000 decesos,de 51 a 100 lesionados,menos de $1 millón
1973,IRAN,140,30.589000000000002,53.058,11.0,5.8,0,0.0,2,1,3,3,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1974,PERU,160,-12.3,-76.35,98.0,6.3,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1974,COLOMBIA,160,6.89,-72.93,24.0,5.0,0,0.0,3,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1974,JAPAN,30,34.5,138.7,2.0,6.5,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1974,VENEZUELA,160,10.56,-63.38,34.0,6.1,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1974,COLOMBIA,160,7.75,-77.69,12.0,7.3,0,0.0,3,2,1,1,1,de 51 a 100 decesos,entre 1 y 50 lesionados,menos de $1 millón
1974,JAPAN,30,36.0,139.82,58.0,5.7,0,0.0,3,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1974,PERU,160,-12.27,-77.79,13.0,8.1,0,0.0,2,4,1,3,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1974,PAKISTAN,60,35.1,72.9,22.0,6.2,0,0.0,2,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1975,IRAN,140,27.5,56.26,27.0,6.1,0,0.0,4,2,1,3,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1975,CHILE,160,-29.9,-71.3,4.0,6.9,0,0.0,2,2,1,3,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1975,VENEZUELA,160,10.04,-69.75,33.0,6.1,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1975,MYANMAR (BURMA),60,21.49,94.7,157.0,6.5,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1975,ALGERIA,15,36.32,5.2410000000000005,30.0,4.3,0,0.0,1,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1975,TURKEY,140,38.474000000000004,40.723,26.0,6.7,0,0.0,1,2,1,1,1,de 51 a 100 decesos,entre 1 y 50 lesionados,menos de $1 millón
1975,GREECE,130,38.628,21.798000000000002,19.0,5.5,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,GUATEMALA,90,15.324000000000002,-89.101,5.0,7.5,0,0.0,2,4,1,3,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,GUATEMALA,100,14.767000000000001,-91.061,5.0,5.1,0,0.0,1,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1976,AFGHANISTAN,40,36.61,67.79,33.0,5.5,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,TURKEY,140,41.13,43.01,18.0,4.8,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1976,ITALY,130,46.356,13.275,9.0,6.5,0,0.0,1,3,1,3,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,PANAMA,100,7.4,-78.1,22.0,6.7,0,0.0,1,3,1,1,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,menos de $1 millón
1976,INDONESIA,60,-8.17,114.88799999999999,40.0,6.5,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1976,CHINA,30,39.57,117.98,23.0,7.5,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1976,PHILIPPINES,170,6.292000000000001,124.09,33.0,8.0,0,0.0,1,4,3,3,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1976,TURKEY,140,37.7,28.89,3.0,4.9,0,0.0,1,1,3,2,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1976,ITALY,130,46.28,13.157,16.0,5.5,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,ITALY,130,46.302,13.197000000000001,10.0,6.0,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1976,IRAN,140,33.846,59.208,13.0,6.0,0,0.0,1,2,1,3,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1976,TURKEY,140,39.12,44.03,36.0,7.3,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1976,CHILE,160,-20.52,-68.92,82.0,7.3,0,0.0,3,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1976,SOUTH AFRICA,10,-27.953000000000003,26.653000000000002,33.0,5.2,0,0.0,1,1,1,1,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,menos de $1 millón
1977,ROMANIA,110,45.777,26.703000000000003,89.0,7.5,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1977,PHILIPPINES,170,16.77,122.33,37.0,7.3,0,0.0,1,3,1,1,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,menos de $1 millón
1977,IRAN,140,27.584,56.378,29.0,6.7,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1977,IRAN,140,31.845,50.711000000000006,41.0,6.0,0,0.0,6,3,1,3,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1977,SOLOMON ISLANDS,170,-9.965,160.731,33.0,8.1,0,0.0,1,4,3,3,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1977,IRAN,140,38.934,44.38,37.0,5.4,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1977,TONGA,170,-22.878,-175.9,65.0,7.2,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1977,ARGENTINA,160,-31.03,-67.77,13.0,7.4,0,0.0,1,2,1,1,1,de 51 a 100 decesos,entre 1 y 50 lesionados,menos de $1 millón
1977,IRAN,140,30.94,56.53,31.0,5.9,0,0.0,1,2,1,3,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1978,JAPAN,30,34.809,139.259,14.0,6.6,0,0.0,2,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1978,ITALY,130,38.1,16.03,33.0,5.0,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1978,MEXICO,150,17.03,-99.74,36.0,6.6,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1978,JAPAN,30,38.19,142.028,44.0,7.7,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1978,GREECE,130,40.739000000000004,23.229,3.0,6.4,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1978,GUATEMALA,100,14.843,-91.022,10.0,4.5,0,0.0,1,1,3,2,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1978,MEXICO,150,16.01,-96.59100000000001,18.0,7.7,0,0.0,1,4,1,2,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1978,IRAN,140,32.111999999999995,49.68,33.0,6.1,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,IRAN,140,33.918,59.555,33.0,6.5,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,PERU,160,-16.39,-72.658,53.0,6.9,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,MEXICO,150,17.813,-101.27600000000001,49.0,7.6,0,0.0,1,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1979,MONTENEGRO,130,42.096000000000004,19.209,10.0,6.9,0,0.0,1,4,1,2,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,CHINA,30,31.451999999999998,119.241,11.0,5.4,0,0.0,1,3,1,1,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,menos de $1 millón
1979,INDONESIA,170,-1.679,136.04,5.0,7.9,0,0.0,1,1,3,3,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1979,ITALY,130,42.812,13.061,16.0,5.8,0,0.0,1,1,3,2,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1979,INDONESIA,60,-8.254,115.84700000000001,38.0,6.2,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,GUATEMALA,100,13.833,-90.881,58.0,6.8,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,INDONESIA,60,-7.656000000000001,108.25200000000001,62.0,6.1,0,0.0,1,3,1,2,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1979,GREECE,130,39.536,20.398,40.0,5.2,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1979,COLOMBIA,160,4.805,-76.217,108.0,6.4,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1979,IRAN,140,33.974000000000004,59.847,10.0,7.1,0,0.0,1,2,1,3,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1979,COLOMBIA,160,1.598,-79.358,33.0,7.7,0,0.0,2,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1979,INDONESIA,60,-3.299,102.712,33.0,6.6,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1979,INDONESIA,60,-8.39,115.889,33.0,6.3,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1980,AZORES (PORTUGAL),130,38.727,-27.75,13.0,6.9,0,0.0,2,4,1,2,1,mas de 1000 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1980,MEXICO,150,32.22,-114.985,5.0,6.4,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1980,GREECE,130,39.269,23.041,14.0,6.4,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1980,GREECE,130,39.203,22.729,10.0,4.0,0,0.0,1,1,3,2,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1980,IRAN,140,37.19,50.201,62.0,5.4,0,0.0,2,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1980,NEPAL,60,29.598000000000003,81.092,18.0,6.5,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1980,HONDURAS,100,15.888,-88.516,22.0,6.4,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1980,ECUADOR,160,-1.9480000000000002,-80.017,55.0,5.6,0,0.0,2,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
